,name,ALIGN,GENDER,APPEARANCES,YEAR,GSM,RANK,PIC,Artist,Source,Date,Wikia,Trivia
1,Psylocke (Elizabeth Braddock) (Earth-616),Neutral Characters,Female Characters,708,1976,Bisexual Characters,1,https://vignette3.wikia.nocookie.net/marveldatabase/images/d/d7/Astonishing_X-Men_Vol_4_1_Granov_Exclusive_Virgin_Variant.jpg/revision/latest?cb=20170622222129,"<a href=""http://www.adigranov.net/"">Adi Granov</a>",Astonishing X-Men Vol 4 #1,"September, 2017",http://marvel.wikia.com/wiki/File:Astonishing_X-Men_Vol_4_1_Granov_Exclusive_Virgin_Variant.jpg,"Though originally white and British, Psylocke's mind was transferred into the body of a Japanese ninja named Kwannon, which stirred up <a href=""http://comicsalliance.com/psylocke-problematic-racial-identity/"">issues of race and identity</a> among fans (de Guzman 2015)"
2,Loki Laufeyson (Earth-616),Neutral Characters,Genderfluid Characters,532,1949,Bisexual Characters,2,https://vignette3.wikia.nocookie.net/marveldatabase/images/5/5d/Loki_Laufeyson_%28Earth-616%29_0003.jpg/revision/latest/scale-to-width-down/308?cb=20101120182453,"Penciler: <a href=""http://marvel.com/comics/creators/6170/olivier_coipel"">Olivier Coipel, </a>  Inker: <a href=""http://www.dccomics.com/talent/mark-morales"">Mark Morales, </a> Colourist: <a href=""http://marvel.com/comics/creators/4306/laura_martin"">Laura Martin, </a> Letterer: <a href=""http://chriseliopoulos.com/"">Chris Eliopoulos</a>",Thor Vol 3 #12,"January, 2009",http://marvel.wikia.com/wiki/File:Loki_as_a_male_(Earth-616).jpg,"While Loki's bisexuality was confirmed by Al Ewing, writer of <i>Loki: Agent of Asgar</i>d, there is much more  conversation surrounding Loki's <a href=""https://www.tor.com/2014/11/04/is-loki-canonically-genderfluid-now/#comment-504420"">gender identity</a>"
3,Deadpool (Wade Wilson),Neutral Characters,Male Characters,500,1991,Pansexual Characters,3,https://vignette2.wikia.nocookie.net/marveldatabase/images/d/de/Deadpool_Vol_4_7_Textless.jpg/revision/latest/scale-to-width-down/316?cb=20151117223619,"<a href=""http://coloneltonymoore.com/"">Tony Moore</a>",Deadpool Vol 4 #7,"April, 2016",http://marvel.wikia.com/wiki/File:Deadpool_Vol_4_7_Textless.jpg,"Deadpool is famously known to break the fourth wall, and even <a href=""http://uproxx.com/webculture/deadpools-10-best-fourth-wall-breaks/"">compared his looks to that of Ryan Reynolds</a>  -- who was casted as the character -- in the comics before the movie came out (McDonald 2011)"
4,Mystique (Raven Darkholme) (Earth-616),Bad Characters,Female Characters,371,1978,Bisexual Characters,4,https://vignette4.wikia.nocookie.net/marveldatabase/images/8/8f/Raven_Darkholme_%28Earth-616%29_%28as_Carol_Danvers%29_04.jpg/revision/latest/scale-to-width-down/640?cb=20100720140604,"Penciler/Inker: <a href=""http://benoliverart.blogspot.com"">Ben Oliver, </a> Colorist: <a href=""https://imagecomics.com/creators/view/veronica-gandini"">Veronica Gandini, </a> Letterer: <a href=""https://www.comixology.com/Dave-Sharpe/comics-creator/60"">Dave Sharpe</a>",Ms. Marvel Vol 2 #50,"April, 2010",http://marvel.wikia.com/wiki/File:Raven_Darkholme_(Earth-616)_(as_Carol_Danvers)_04.jpg,"Mystique raised (future X-Man) <a href=""https://books.google.com/books?id=bZmVDAAAQBAJ&pg=PA132&lpg=PA132&dq=claremont+mystique+destiny&source=bl&ots=CVDPBCRyI9&sig=DQeO7zi_wTA9d8LjK84hoOE2Efw&hl=en&sa=X&ved=0ahUKEwil8NWQgKPWAhVll1QKHfbkB3Y4FBDoAQg4MAM#v=onepage&q=claremont%20mystique%20destiny&f=false"">Rogue with Destiny,</a>  her female companion and lover. However, during that time, Comics Code Authority prevented depictions of queer relationships, so Mystique and Destiny were often written as friends (Cocca 2016)"
5,Heather Douglas (Earth-616),Good Characters,Female Characters,323,1973,Bisexual Characters,5,https://vignette.wikia.nocookie.net/marveldatabase/images/3/31/Heather_Douglas_%28Earth-616%29_from_Guardians_of_the_Galaxy_Vol_4_5_001.jpg/revision/latest?cb=20160211051515,"Penciler/Inker: <a href=""https://valerioschiti.tumblr.com/"">Valerio Schiti, </a> Colorist: <a href=""http://marvel.com/comics/creators/798/richard_isanove"">Richard Isanove</a>",Guardians of the Galaxy Vol 4 #5,"April, 2016",http://marvel.wikia.com/wiki/File:Heather_Douglas_(Earth-616)_from_Guardians_of_the_Galaxy_Vol_4_5_001.jpg,"Heather (aka 'Moondragon') is part of the Guardians of the Galaxy and has <a href=""https://news.marvel.com/comics/63109/every-guardian-galaxy-ever/"">telepathic abilities that surpass those of X-Men's Professor Charles Xavier</a>  (Jacobino 2017)"
